latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
25.62,92.85,180.0,4.3,24.1,47.9,0.742,0.6704,24.1,35.5,29.5,1.143,0.0786
25.62,92.86,174.0,5.8,23.9,90.0,1.0,0.0,23.9,34.4,30.3,1.15,0.1059
25.62,92.87,199.0,5.5,23.4,90.0,1.0,0.0,23.4,32.4,31.5,1.148,0.1003
25.62,92.88,196.0,4.6,23.4,90.0,1.0,0.0,23.4,32.4,31.5,1.148,0.084
25.62,92.89,215.0,3.7,23.5,47.9,0.742,0.6704,23.5,32.2,31.4,1.141,0.0676
25.62,92.9,195.0,5.0,23.8,90.0,1.0,0.0,23.8,33.0,31.0,1.141,0.0913
25.62,92.91,220.0,6.0,24.2,47.9,0.742,0.6704,24.2,32.9,31.0,1.142,0.1096
25.62,92.92,240.0,8.0,24.2,90.0,1.0,0.0,24.2,32.9,31.0,1.142,0.1459
25.62,92.93,190.0,9.3,23.9,90.0,1.0,0.0,23.9,32.4,31.3,1.144,0.1693
25.62,92.94,223.0,10.2,23.9,90.0,1.0,0.0,23.9,32.4,31.3,1.144,0.1855
25.62,92.95,147.0,9.3,23.5,90.0,1.0,0.0,23.5,32.5,31.3,1.145,0.1692
25.62,92.96,173.0,7.0,23.4,132.1,0.742,-0.6704,23.4,32.9,30.9,1.154,0.1276
25.62,92.97,155.0,4.7,23.6,227.9,-0.742,-0.6704,23.6,32.4,30.8,1.154,0.0858
25.62,92.98,192.0,6.3,23.2,270.0,-1.0,-0.0,23.2,31.7,31.1,1.16,0.1148
25.62,92.99,178.0,4.7,23.3,312.1,-0.742,0.6704,23.3,30.7,31.2,1.161,0.0858
25.62,93.0,170.0,3.5,23.4,132.1,0.742,-0.6704,23.4,29.9,31.0,1.161,0.0639
25.62,93.01,178.0,3.5,23.4,132.1,0.742,-0.6704,23.4,29.9,31.0,1.161,0.0639
25.62,93.02,236.0,3.5,23.7,180.0,0.0,-1.0,23.7,30.1,30.9,1.149,0.0639
25.62,93.03,234.0,3.5,23.7,180.0,0.0,-1.0,23.7,30.1,30.9,1.149,0.0639
25.62,93.04,289.0,3.5,24.6,180.0,0.0,-1.0,24.6,30.8,30.1,1.131,0.0641
25.62,93.05,299.0,3.5,25.4,180.0,0.0,-1.0,25.4,30.9,29.4,1.109,0.0641
25.62,93.06,310.0,3.5,26.0,180.0,0.0,-1.0,26.0,32.0,28.9,1.095,0.0642
25.62,93.07,278.0,3.5,26.3,180.0,0.0,-1.0,26.3,33.0,28.4,1.086,0.0643
25.62,93.08,281.0,3.5,26.4,180.0,0.0,-1.0,26.4,33.6,28.3,1.087,0.0643
25.62,93.09,236.0,3.5,26.7,180.0,0.0,-1.0,26.7,35.0,28.0,1.081,0.0643
25.62,93.1,276.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.0643
25.62,93.11,280.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.0643
25.62,93.12,278.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.0643
25.62,93.13,347.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.0643
25.62,93.14,484.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.0643
25.62,93.15,305.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.16,346.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.17,360.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.18,281.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.19,220.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.2,289.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.21,347.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.22,419.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.23,380.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.24,472.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.25,421.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.26,390.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.27,379.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.28,380.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.62,93.29,416.0,3.5,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0643
25.63,92.7,634.0,3.5,26.6,180.0,0.0,-1.0,26.6,34.8,28.4,1.07,0.0643
25.63,92.71,606.0,3.5,26.8,180.0,0.0,-1.0,26.8,33.9,28.5,1.065,0.0643
25.63,92.72,545.0,3.5,26.6,180.0,0.0,-1.0,26.6,34.6,28.7,1.072,0.0643
25.63,92.73,552.0,3.5,26.2,180.0,0.0,-1.0,26.2,34.8,28.8,1.077,0.0642
25.63,92.74,362.0,3.5,26.2,180.0,0.0,-1.0,26.2,34.8,28.8,1.077,0.0642
25.63,92.75,328.0,3.5,26.4,180.0,0.0,-1.0,26.4,35.5,27.9,1.092,0.0643
25.63,92.76,217.0,3.5,26.3,180.0,0.0,-1.0,26.3,35.9,27.6,1.098,0.0643
25.63,92.77,277.0,3.5,26.0,180.0,0.0,-1.0,26.0,37.2,27.3,1.113,0.0642
25.63,92.78,319.0,3.5,25.8,180.0,0.0,-1.0,25.8,37.9,27.4,1.124,0.0642
25.63,92.79,262.0,3.5,25.8,180.0,0.0,-1.0,25.8,37.8,27.2,1.135,0.0642
25.63,92.8,256.0,3.5,25.8,180.0,0.0,-1.0,25.8,37.8,27.2,1.135,0.0642
25.63,92.81,250.0,3.5,25.4,180.0,0.0,-1.0,25.4,36.7,27.7,1.137,0.0641
